id,Beam/Column,Wall,Floor,Cladding,Wall Insulation,Roof Insulation,Roof Membrane,IGU,Window Frame,WWR,Floor to Floor Height,Parking Levels,SCM,GWP
201386,Glulam,CLT,Wood Joist,PVC,XPS,Polyiso,Mod Bit,Triple Glazed,Aluminum,10,3,0,30,116.6
184429,Glulam,Wood Stud OVE,CLT,Brick,XPS,XPS,EPDM,Double Glazed,PVC,10,3,0,20,159.7
114974,Glulam,Steel Stud,CLT,PVC,Mineral Wool,Polyiso,Mod Bit,Double Glazed,PVC,10,3,0,30,137.3
246589,Glulam,ICF,CLT,EIFS,EIFS,XPS,Mod Bit,Double Glazed,PVC,10,3,0,20,256.4
184251,Glulam,Wood Stud OVE,Wood I Joist,Fiberboard,Cellulose,Mineral Wool,Mod Bit,Triple Glazed,Aluminum,25,3,0,0,98.5
111164,Glulam,Steel Stud,CLT,Brick,Fiberglass,Mineral Wool,EPDM,Triple Glazed,Wood,10,3,0,30,160.1
87083,Glulam,Steel Stud,Wood Joist,Brick,Mineral Wool,XPS,EPDM,Double Glazed,Fiberglass,25,3,0,30,135.3
193115,Glulam,Wood Stud OVE,CLT,EIFS,EIFS,EPS,PVC,Double Glazed,Fiberglass,25,3,0,30,117.1
243269,Glulam,ICF,CLT,Metal,Spray Foam,EPS,Mod Bit,Double Glazed,Aluminum,25,3,0,30,331.7
234611,Glulam,ICF,Wood I Joist,EIFS,EIFS,EPS,PVC,Triple Glazed,Fiberglass,25,3,0,30,200.2
18477,Load Bearing Wood Wall,Wood Stud,Wood I Joist,EIFS,EIFS,XPS,PVC,Triple Glazed,Wood,25,3,0,0,103.9
24718,Load Bearing Wood Wall,Wood Stud,CLT,Brick,Fiberglass,Mineral Wool,Mod Bit,Triple Glazed,Wood,25,3,0,20,143.6
166377,Glulam,Wood Stud OVE,Wood Joist,EIFS,EIFS,Mineral Wool,Mod Bit,Double Glazed,Fiberglass,25,3,0,0,91.3
134258,Glulam,Wood Stud,Wood I Joist,Brick,Spray Foam,XPS,Mod Bit,Double Glazed,Aluminum,10,3,0,30,206.3
206800,Glulam,CLT,Wood I Joist,PVC,XPS,XPS,PVC,Double Glazed,PVC,25,3,0,20,121.8
210898,Glulam,CLT,CLT,Brick,Mineral Wool,XPS,Mod Bit,Triple Glazed,Fiberglass,25,3,0,20,169.2
176867,Glulam,Wood Stud OVE,Wood I Joist,PVC,Fiberglass,XPS,PVC,Triple Glazed,Fiberglass,25,3,0,30,91.4
37659,Load Bearing Wood Wall,CLT,Wood Joist,PVC,Mineral Wool,EPS,Mod Bit,Triple Glazed,Aluminum,25,3,0,0,114.3
223328,Glulam,ICF,Wood Joist,EIFS,EIFS,Polyiso,EPDM,Triple Glazed,Fiberglass,10,3,0,30,209.1
206188,Glulam,CLT,Wood I Joist,Metal,XPS,Mineral Wool,EPDM,Triple Glazed,Aluminum,25,3,0,20,160.6
75937,Load Bearing Wood Wall,ICF,CLT,Brick,Mineral Wool,Mineral Wool,Mod Bit,Double Glazed,Aluminum,10,3,0,20,278.5
202337,Glulam,CLT,Wood Joist,EIFS,EIFS,EPS,PVC,Double Glazed,PVC,25,3,0,30,106.4
177940,Glulam,Wood Stud OVE,Wood I Joist,PVC,Spray Foam,Mineral Wool,EPDM,Double Glazed,Aluminum,25,3,0,20,159.8
142866,Glulam,Wood Stud,Wood I Joist,Fiberboard,Fiberglass,XPS,PVC,Double Glazed,Wood,10,3,0,0,86.9
208449,Glulam,CLT,Wood I Joist,EIFS,EIFS,Mineral Wool,Mod Bit,Triple Glazed,Fiberglass,25,3,0,0,115.7
20419,Load Bearing Wood Wall,Wood Stud,Wood I Joist,EIFS,EIFS,EPS,EPDM,Double Glazed,Wood,10,3,0,20,88.0
216570,Glulam,ICF,Wood Joist,Brick,XPS,Mineral Wool,EPDM,Triple Glazed,Wood,10,3,0,0,268.0
109024,Glulam,Steel Stud,Wood I Joist,Fiberboard,Spray Foam,EPS,PVC,Double Glazed,PVC,25,3,0,20,189.0
110122,Glulam,Steel Stud,CLT,Brick,Mineral Wool,XPS,EPDM,Double Glazed,Fiberglass,25,3,0,20,166.1
249209,Glulam,ICF,CLT,Fiberboard,Mineral Wool,Polyiso,Mod Bit,Triple Glazed,PVC,25,3,0,30,231.9
122711,Glulam,Wood Stud,Wood Joist,Brick,Spray Foam,XPS,PVC,Double Glazed,Wood,25,3,0,30,185.5
14995,Load Bearing Wood Wall,Wood Stud,Wood I Joist,Metal,Fiberglass,XPS,PVC,Double Glazed,Wood,10,3,0,20,128.1
10593,Load Bearing Wood Wall,Wood Stud,Wood Joist,Fiberboard,Fiberglass,EPS,Mod Bit,Triple Glazed,Fiberglass,25,3,0,0,95.8
28428,Load Bearing Wood Wall,Wood Stud,CLT,PVC,Mineral Wool,EPS,Mod Bit,Double Glazed,PVC,10,3,0,0,116.0
133794,Glulam,Wood Stud,Wood I Joist,Brick,Fiberglass,EPS,PVC,Double Glazed,Wood,10,3,0,0,108.6
47178,Load Bearing Wood Wall,CLT,CLT,Brick,Mineral Wool,Mineral Wool,Mod Bit,Triple Glazed,Wood,10,3,0,0,165.4
77646,Load Bearing Wood Wall,ICF,CLT,Metal,XPS,Mineral Wool,PVC,Triple Glazed,Fiberglass,10,3,0,0,314.8
202466,Glulam,CLT,Wood Joist,EIFS,EIFS,Polyiso,PVC,Double Glazed,Aluminum,10,3,0,30,102.5
214909,Glulam,CLT,CLT,Fiberboard,XPS,XPS,Mod Bit,Double Glazed,PVC,10,3,0,20,155.5
50576,Load Bearing Wood Wall,CLT,CLT,EIFS,EIFS,Mineral Wool,PVC,Triple Glazed,Fiberglass,10,3,0,30,134.7
225475,Glulam,ICF,Wood Joist,Fiberboard,XPS,EPS,EPDM,Double Glazed,Wood,10,3,0,20,233.4
162160,Glulam,Wood Stud OVE,Wood Joist,PVC,Mineral Wool,Polyiso,PVC,Double Glazed,PVC,25,3,0,20,87.5
217431,Glulam,ICF,Wood Joist,Brick,Fiberglass,EPS,EPDM,Triple Glazed,PVC,25,3,0,0,233.0
160421,Glulam,Wood Stud OVE,Wood Joist,Metal,Spray Foam,Polyiso,PVC,Double Glazed,Aluminum,25,3,0,30,195.7
48608,Load Bearing Wood Wall,CLT,CLT,PVC,XPS,EPS,Mod Bit,Triple Glazed,Fiberglass,10,3,0,30,147.2
144650,Glulam,Wood Stud,CLT,Brick,Mineral Wool,XPS,Mod Bit,Triple Glazed,Aluminum,10,3,0,30,149.9
